Available Datacenters(可用数据中心)

Datacenter  Geographic Location             Slug    oem_name1
NYC1        New York City, United States    nyc1    美国纽约市
NYC2        New York City, United States    nyc2    美国纽约市
NYC3        New York City, United States    nyc3    美国纽约市
AMS2        Amsterdam, the Netherlands      ams2    荷兰阿姆斯特丹
AMS3        Amsterdam, the Netherlands      ams3    荷兰阿姆斯特丹
SFO1        San Francisco, United States    sfo1    美国旧金山
SFO2        San Francisco, United States    sfo2    美国旧金山
analythium-opencpu-20-04                     droplet
lamp-20-04                                   droplet
mongodb-18-04                                droplet
mysql-20-04                                  droplet
hectortestdontde-18-04                       droplet
mpdev-gutiumtestapp333-20-04                 droplet
cpanel-cpanelwhm-7-9                         droplet
charlottemp3529p-18-04                       droplet
konnectedmindzte-hyperledgerfabri-18-04      droplet
antmedia-antmediaserverco-18-04              droplet
antmedia-antmediaserveren-18-04              droplet
nethermind-20-04                             droplet
kasmtechnologies-kasmworkspaces-18-04        droplet
simplex-simplexserver-20-04                  droplet
mpdev-paultest2-20-04                        droplet
perconamonitorin-7                           droplet
litespeedtechnol-openlitespeedwor-20-04      droplet
veronikatest-18-04                           droplet
mpdev-gutiumtestcreati-20-04                 droplet
mpdev-hectortestapp1-20-01                   droplet
nirvatosoftware-nirvashare-20-04             droplet
mpdev-hectordevtest2-20-10                   droplet
ispsystem-ispmanager-7                       droplet
phpmyadmin-20-04                             droplet
devrel-teleport-20-04                        droplet
wordpress-20-04                              droplet
mpdev-hectorinmutables-18-04                 droplet
sandflysecurity-20-04                        droplet
litespeedtechnol-openlitespeedjoo-20-04      droplet
codelathe-filecloud-20-04                    droplet
gitea-20-04                                  droplet
owncast-10                                   droplet
cubitetechnologi-cubite-20-04                droplet
everlifeaipte-everlifeai                     droplet
caprover-18-04                               droplet
livehelperchat-7-8-2003                      droplet
softlab24-opensourcesocial-18-04             droplet
budibase-20-04                               droplet
mpdev-hectorinmutables                       droplet
grandnode-grandnode20-18-04                  droplet
jitsiserver-20-04                            droplet
plesk-20-04                                  droplet
plesk-pleskcentos-7-9                        droplet
eltrino-magento2opensour-20-04               droplet
bunkercloudservi-warpspeedvpn-18-04          droplet
